
# DDL
CREATE DATABASE Trumpv2

# DML
# CONTEXT-DATABASE: Trumpv2

shooting IncidentDate="September 12, 2019",State="New Mexico",CityOrCounty="Albuquerque",Address="1919 Ladera Dr NW",Killed=1,Injured=3,Operations="nan" 1571702409
shooting IncidentDate="September 12, 2019",State="New Mexico",CityOrCounty="Albuquerque",Address="1028 Lura Pl SW",Killed=4,Injured=2,Operations="nan" 1571702409
shooting IncidentDate="September 10, 2019",State="Illinois",CityOrCounty="Chicago",Address="2200 block of W Maypole Ave",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="September 8, 2019",State="South Carolina",CityOrCounty="Sumter",Address="1083 Broad St",Killed=2,Injured=2,Operations="nan" 1571702409
shooting IncidentDate="September 8, 2019",State="Louisiana",CityOrCounty="Alexandria",Address="2900 block of Cypress St",Killed=1,Injured=3,Operations="nan" 1571702409
shooting IncidentDate="September 7, 2019",State="North Carolina",CityOrCounty="Whiteville",Address="Brittney Lane",Killed=3,Injured=1,Operations="nan" 1571702409
shooting IncidentDate="September 4, 2019",State="Florida",CityOrCounty="Jacksonville",Address="400 W 62nd St",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="September 4, 2019",State="Louisiana",CityOrCounty="Marrero",Address="3044 Sorbonne Dr",Killed=2,Injured=2,Operations="nan" 1571702409
shooting IncidentDate="September 2, 2019",State="Alabama",CityOrCounty="Elkmont",Address="25019 Ridge Road",Killed=5,Injured=0,Operations="nan" 1571702409
shooting IncidentDate="September 2, 2019",State="North Carolina",CityOrCounty="Greensboro",Address="5528 W Market St",Killed=2,Injured=2,Operations="nan" 1571702409
shooting IncidentDate="September 2, 2019",State="Illinois",CityOrCounty="Chicago",Address="6200 block of S King Dr",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="September 1, 2019",State="Connecticut",CityOrCounty="Hartford",Address="80 Edgewood St",Killed=1,Injured=3,Operations="nan" 1571702409
shooting IncidentDate="September 1, 2019",State="North Carolina",CityOrCounty="Rocky Mount",Address="521 Country Club Road",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="September 1, 2019",State="Alabama",CityOrCounty="Valley",Address="502 Boulevard",Killed=0,Injured=7,Operations="nan" 1571702409
shooting IncidentDate="September 1, 2019",State="Ohio",CityOrCounty="Toledo",Address="3257 Stickney Ave",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="August 31, 2019",State="Texas",CityOrCounty="Odessa",Address="8250 TX 191",Killed=8,Injured=23,Operations="nan" 1571702409
shooting IncidentDate="August 31, 2019",State="Pennsylvania",CityOrCounty="Philadelphia",Address="4600 block of 4th St",Killed=2,Injured=2,Operations="nan" 1571702409
